model,feature,modality,gene,cpg,importance,rank
NN_integrated,METH: BIRC5 (cg25986496),METH,BIRC5,cg25986496,0.007823088221402071,29
NN_integrated,METH: KRT5 (cg04254916),METH,KRT5,cg04254916,0.007819322937311822,30
NN_integrated,RNA: TMEM45B,RNA,TMEM45B,,0.0077814363774350755,31
NN_integrated,METH: ESR1 (cg21950534),METH,ESR1,cg21950534,0.007772249307288739,32
NN_integrated,METH: FOXC1 (cg24038058),METH,FOXC1,cg24038058,0.007770862675059557,33
NN_integrated,METH: CXXC5 (cg01408486),METH,CXXC5,cg01408486,0.007766434590343537,34
NN_integrated,METH: MDM2 (cg01202278),METH,MDM2,cg01202278,0.007735414803846346,35
NN_integrated,METH: ESR1 (cg26089753),METH,ESR1,cg26089753,0.0077276592516716215,36
NN_integrated,METH: EGFR (cg07311521),METH,EGFR,cg07311521,0.007703261174242488,37
NN_integrated,METH: SFRP1 (cg01495122),METH,SFRP1,cg01495122,0.0077032584968429905,38
NN_integrated,METH: ERBB2 (cg11993754),METH,ERBB2,cg11993754,0.00765636965083859,39
NN_integrated,METH: FOXC1 (cg16617518),METH,FOXC1,cg16617518,0.007636696115900122,40
NN_integrated,METH: GRB7 (cg08284496),METH,GRB7,cg08284496,0.007635609785088566,41
NN_integrated,METH: GRB7 (cg24967701),METH,GRB7,cg24967701,0.007622901307190264,42
NN_integrated,METH: MYC (cg19972619),METH,MYC,cg19972619,0.007609066234642117,43
NN_integrated,METH: EGFR (cg14094960),METH,EGFR,cg14094960,0.00760223837079801,44
NN_integrated,METH: CDH3 (cg06575065),METH,CDH3,cg06575065,0.007601599224094525,45
NN_integrated,METH: MYBL2 (cg14430582),METH,MYBL2,cg14430582,0.007598226805634401,46
NN_integrated,METH: ESR1 (cg06611115),METH,ESR1,cg06611115,0.007560860060104768,47
NN_integrated,METH: SFRP1 (cg13398291),METH,SFRP1,cg13398291,0.007554957064324585,48
NN_integrated,METH: FOXA1 (cg11260422),METH,FOXA1,cg11260422,0.007546248311565026,49
NN_integrated,METH: MLPH (cg14070755),METH,MLPH,cg14070755,0.007542414550216312,50
NN_integrated,METH: CDH3 (cg17733331),METH,CDH3,cg17733331,0.007522335781113906,51
NN_integrated,METH: CENPF (cg21164723),METH,CENPF,cg21164723,0.007508128405768313,52
NN_integrated,METH: BLVRA (cg19725553),METH,BLVRA,cg19725553,0.007499715995448019,53
NN_integrated,METH: PGR (cg22733687),METH,PGR,cg22733687,0.007495925359065018,54
NN_integrated,METH: ESR1 (cg18745416),METH,ESR1,cg18745416,0.0074871898302677166,55
NN_integrated,METH: ESR1 (cg11813455),METH,ESR1,cg11813455,0.00748426226872631,56
NN_integrated,METH: ESR1 (cg07189962),METH,ESR1,cg07189962,0.007452419485028918,57
NN_integrated,METH: UBE2C (cg02405476),METH,UBE2C,cg02405476,0.007446035529361621,58
NN_integrated,METH: GRB7 (cg17355719),METH,GRB7,cg17355719,0.007415734035373032,59
NN_integrated,METH: FGFR4 (cg17475304),METH,FGFR4,cg17475304,0.007415129248367374,60
NN_integrated,METH: ERBB2 (cg23333072),METH,ERBB2,cg23333072,0.007407237729238542,61
NN_integrated,METH: CDH3 (cg00748373),METH,CDH3,cg00748373,0.0073739960885089275,62
NN_integrated,METH: ESR1 (cg27316393),METH,ESR1,cg27316393,0.007358841786124947,63
NN_integrated,METH: MAPT (cg11117266),METH,MAPT,cg11117266,0.00735606648008438,64
NN_integrated,METH: MYC (cg24666276),METH,MYC,cg24666276,0.007342837228412541,65
NN_integrated,METH: SFRP1 (cg17816908),METH,SFRP1,cg17816908,0.007331428021821819,66
NN_integrated,METH: ERBB2 (cg03386751),METH,ERBB2,cg03386751,0.0073019195965187845,67
NN_integrated,METH: UBE2C (cg00242976),METH,UBE2C,cg00242976,0.007297715220802528,68
NN_integrated,METH: SFRP1 (cg14824386),METH,SFRP1,cg14824386,0.007277453850444157,69
NN_integrated,METH: ERBB2 (cg23731030),METH,ERBB2,cg23731030,0.00726828956198188,70
NN_integrated,METH: ESR1 (cg07746998),METH,ESR1,cg07746998,0.007259051811926369,71
NN_integrated,METH: CEP55 (cg24371383),METH,CEP55,cg24371383,0.007249851653303866,72
NN_integrated,METH: MLPH (cg11692852),METH,MLPH,cg11692852,0.007234541930221703,73
NN_integrated,METH: UBE2T (cg15173196),METH,UBE2T,cg15173196,0.007208295684014934,74
NN_integrated,METH: CDC6 (cg20725670),METH,CDC6,cg20725670,0.007202906145672993,75
NN_integrated,METH: GRB7 (cg01692252),METH,GRB7,cg01692252,0.00720274959232325,76
NN_integrated,METH: SFRP1 (cg03133371),METH,SFRP1,cg03133371,0.00720092835835606,77
NN_integrated,METH: ESR1 (cg08884395),METH,ESR1,cg08884395,0.0071763061124460155,78
NN_integrated,METH: SFRP1 (cg15839448),METH,SFRP1,cg15839448,0.007157654554456077,79
NN_integrated,METH: SFRP1 (cg00000321),METH,SFRP1,cg00000321,0.007153588198030256,80
NN_integrated,METH: UBE2C (cg01661001),METH,UBE2C,cg01661001,0.007146093859453655,81
NN_integrated,RNA: SLC39A6,RNA,SLC39A6,,0.007144278822492998,82
NN_integrated,METH: MMP11 (cg23850277),METH,MMP11,cg23850277,0.007110993111191255,83
NN_integrated,METH: NAT1 (cg09102997),METH,NAT1,cg09102997,0.00710909127293265,84
NN_integrated,METH: CDH3 (cg05650674),METH,CDH3,cg05650674,0.007099120371740949,85
NN_integrated,METH: GPR160 (cg21919556),METH,GPR160,cg21919556,0.00707387309122228,86
NN_integrated,METH: CDH3 (cg04904099),METH,CDH3,cg04904099,0.007058192588328094,87
NN_integrated,METH: BCL2 (cg05724997),METH,BCL2,cg05724997,0.00704483791313533,88
NN_integrated,METH: PGR (cg13906669),METH,PGR,cg13906669,0.007035824905799144,89
NN_integrated,METH: BLVRA (cg04391064),METH,BLVRA,cg04391064,0.007026284432303191,90
NN_integrated,METH: MELK (cg14279528),METH,MELK,cg14279528,0.007022244729464493,91
NN_integrated,METH: SFRP1 (cg10406295),METH,SFRP1,cg10406295,0.007012004257018156,92
NN_integrated,METH: ESR1 (cg17264271),METH,ESR1,cg17264271,0.007008952554882943,93
NN_integrated,METH: ORC6 (cg09238957),METH,ORC6,cg09238957,0.006996067123096975,94
NN_integrated,RNA: TYMS,RNA,TYMS,,0.006985019646999899,95
NN_integrated,METH: CDH3 (cg27417609),METH,CDH3,cg27417609,0.006972323833551427,96
NN_integrated,METH: ESR1 (cg23009221),METH,ESR1,cg23009221,0.006968813436626681,97
NN_integrated,METH: NUF2 (cg21959457),METH,NUF2,cg21959457,0.006965869159049018,98
NN_integrated,METH: ACTR3B (cg01747547),METH,ACTR3B,cg01747547,0.006964792775741878,99
NN_integrated,METH: BCL2 (cg23707289),METH,BCL2,cg23707289,0.006956448141643714,100
NN_integrated,RNA: CEP55,RNA,CEP55,,0.006952130462672033,101
NN_integrated,RNA: NDC80,RNA,NDC80,,0.006941505127990816,102
NN_integrated,METH: FOXC1 (cg20491838),METH,FOXC1,cg20491838,0.00693923162779087,103
NN_integrated,METH: FOXC1 (cg01912921),METH,FOXC1,cg01912921,0.006931452727456261,104
NN_integrated,RNA: CDC20,RNA,CDC20,,0.00692123004451706,105
NN_integrated,METH: NAT1 (cg22904102),METH,NAT1,cg22904102,0.0069162046292431945,106
NN_integrated,METH: GRB7 (cg07967228),METH,GRB7,cg07967228,0.006911845731539506,107
NN_integrated,RNA: KRT5,RNA,KRT5,,0.006901549153906195,108
NN_integrated,METH: ESR1 (cg20253551),METH,ESR1,cg20253551,0.006891680739253718,109
NN_integrated,METH: TMEM45B (cg15483228),METH,TMEM45B,cg15483228,0.006880226399643864,110
NN_integrated,METH: MDM2 (cg01098785),METH,MDM2,cg01098785,0.006878693009975007,111
NN_integrated,METH: GRB7 (cg13761998),METH,GRB7,cg13761998,0.0068644252642804,112
NN_integrated,RNA: UBE2C,RNA,UBE2C,,0.006861494645679418,113
NN_integrated,METH: BCL2 (cg21777986),METH,BCL2,cg21777986,0.006859050154554958,114
NN_integrated,METH: ESR1 (cg21157690),METH,ESR1,cg21157690,0.006854806909134599,115
NN_integrated,METH: PGR (cg16688583),METH,PGR,cg16688583,0.006842735807396828,116
NN_integrated,METH: CXXC5 (cg22019649),METH,CXXC5,cg22019649,0.006836877704901637,117
NN_integrated,METH: MYBL2 (cg14577472),METH,MYBL2,cg14577472,0.006820889788432455,118
NN_integrated,RNA: MMP11,RNA,MMP11,,0.006819461692726753,119
NN_integrated,METH: ESR1 (cg22839866),METH,ESR1,cg22839866,0.006814860028580023,120
NN_integrated,METH: CCNE1 (cg16740744),METH,CCNE1,cg16740744,0.006813669208532765,121
NN_integrated,METH: SFRP1 (cg23359714),METH,SFRP1,cg23359714,0.006810144470124366,122
NN_integrated,METH: ERBB2 (cg12413918),METH,ERBB2,cg12413918,0.0068050365971440265,123
NN_integrated,METH: BCL2 (cg12090740),METH,BCL2,cg12090740,0.006804557186093641,124
NN_integrated,METH: ANLN (cg25028542),METH,ANLN,cg25028542,0.006803465310332644,125
NN_integrated,METH: GPR160 (cg25742394),METH,GPR160,cg25742394,0.00679858798382673,126
NN_integrated,METH: FOXA1 (cg16527491),METH,FOXA1,cg16527491,0.006796739504990953,127
NN_integrated,METH: CEP55 (cg14951488),METH,CEP55,cg14951488,0.00679439824053429,128
NN_integrated,RNA: EXO1,RNA,EXO1,,0.006791693059768726,129
NN_integrated,RNA: CDH3,RNA,CDH3,,0.006788519058756399,130
NN_integrated,METH: GPR160 (cg00424800),METH,GPR160,cg00424800,0.006783062215421766,131
NN_integrated,RNA: CDC6,RNA,CDC6,,0.006773818343785094,132
NN_integrated,RNA: MKI67,RNA,MKI67,,0.006771376817133365,133
NN_integrated,METH: SFRP1 (cg01074584),METH,SFRP1,cg01074584,0.006763413778458422,134
NN_integrated,METH: KRT5 (cg25149125),METH,KRT5,cg25149125,0.006734780240505508,135
NN_integrated,METH: NUF2 (cg16604136),METH,NUF2,cg16604136,0.0067311640569581496,136
NN_integrated,METH: NDC80 (cg02807146),METH,NDC80,cg02807146,0.006699402526550643,137
NN_integrated,METH: ERBB2 (cg14187895),METH,ERBB2,cg14187895,0.006694523723019042,138
NN_integrated,METH: FOXC1 (cg23946695),METH,FOXC1,cg23946695,0.00668020229377018,139
NN_integrated,RNA: MAPT,RNA,MAPT,,0.006674468460488397,140
NN_integrated,METH: MELK (cg14431547),METH,MELK,cg14431547,0.006668196548424147,141
NN_integrated,METH: KRT5 (cg00368577),METH,KRT5,cg00368577,0.0066657634669169364,142
NN_integrated,METH: ERBB2 (cg15227682),METH,ERBB2,cg15227682,0.006654053442771603,143
NN_integrated,METH: MYC (cg00611675),METH,MYC,cg00611675,0.006647855480798434,144
NN_integrated,RNA: SFRP1,RNA,SFRP1,,0.006645959773656161,145
NN_integrated,METH: MKI67 (cg07314148),METH,MKI67,cg07314148,0.006645209552002934,146
NN_integrated,METH: ACTR3B (cg09126741),METH,ACTR3B,cg09126741,0.006633114449099983,147
NN_integrated,METH: CCNE1 (cg27475126),METH,CCNE1,cg27475126,0.006603808239350938,148
NN_integrated,RNA: KIF2C,RNA,KIF2C,,0.00659082015742869,149
NN_integrated,METH: SFRP1 (cg07935886),METH,SFRP1,cg07935886,0.006587058172742556,150
NN_integrated,METH: UBE2T (cg13395333),METH,UBE2T,cg13395333,0.00658163630451873,151
NN_integrated,METH: GRB7 (cg03684977),METH,GRB7,cg03684977,0.0065767232337179725,152
NN_integrated,RNA: MELK,RNA,MELK,,0.0065701123568394915,153
NN_integrated,METH: KRT5 (cg17565113),METH,KRT5,cg17565113,0.006570013985958994,154
NN_integrated,METH: ESR1 (cg07671949),METH,ESR1,cg07671949,0.0065571487976496465,155
NN_integrated,METH: GRB7 (cg14263391),METH,GRB7,cg14263391,0.006554806128837777,156
NN_integrated,METH: ESR1 (cg08907436),METH,ESR1,cg08907436,0.00654471925950945,157
NN_integrated,METH: NAT1 (cg15797286),METH,NAT1,cg15797286,0.006544232519528448,158
NN_integrated,METH: MYBL2 (cg16487280),METH,MYBL2,cg16487280,0.0065258363995977405,159
NN_integrated,METH: ESR1 (cg24900983),METH,ESR1,cg24900983,0.006522225590793482,160
NN_integrated,METH: FOXC1 (cg10365447),METH,FOXC1,cg10365447,0.0065126064046863216,161
NN_integrated,METH: ESR1 (cg24764793),METH,ESR1,cg24764793,0.006481347419482364,162
NN_integrated,METH: NAT1 (cg04241863),METH,NAT1,cg04241863,0.006479663560736492,163
NN_integrated,RNA: RRM2,RNA,RRM2,,0.0064742129692184095,164
NN_integrated,METH: NDC80 (cg00277996),METH,NDC80,cg00277996,0.006473139756926495,165
NN_integrated,METH: ACTR3B (cg07998951),METH,ACTR3B,cg07998951,0.006442714512016185,166
NN_integrated,METH: ESR1 (cg17706972),METH,ESR1,cg17706972,0.0064370795575549545,167
NN_integrated,METH: FGFR4 (cg17919667),METH,FGFR4,cg17919667,0.006427969992979832,168
NN_integrated,METH: NAT1 (cg18509990),METH,NAT1,cg18509990,0.0064187630965385324,169
NN_integrated,METH: NAT1 (cg04149472),METH,NAT1,cg04149472,0.006405824565873551,170
NN_integrated,METH: FOXA1 (cg23664186),METH,FOXA1,cg23664186,0.006401913714119912,171
NN_integrated,METH: CCNE1 (cg16836589),METH,CCNE1,cg16836589,0.006400323015849213,172
NN_integrated,METH: ESR1 (cg10441070),METH,ESR1,cg10441070,0.006392896366114228,173
NN_integrated,METH: PGR (cg25915838),METH,PGR,cg25915838,0.006390795105083367,174
NN_integrated,RNA: PHGDH,RNA,PHGDH,,0.006387334298464687,175
NN_integrated,METH: MLPH (cg01387102),METH,MLPH,cg01387102,0.006369283128911326,176
NN_integrated,RNA: BAG1,RNA,BAG1,,0.00636804634902199,177
NN_integrated,METH: ESR1 (cg20893956),METH,ESR1,cg20893956,0.006367501798700924,178
NN_integrated,METH: GRB7 (cg23836594),METH,GRB7,cg23836594,0.006342331516443354,179
NN_integrated,METH: ESR1 (cg21608605),METH,ESR1,cg21608605,0.006336165222979159,180
NN_integrated,RNA: BIRC5,RNA,BIRC5,,0.0063335434902831046,181
NN_integrated,METH: ESR1 (cg09646983),METH,ESR1,cg09646983,0.006330523405586858,182
NN_integrated,METH: KRT5 (cg23645091),METH,KRT5,cg23645091,0.006327165519527826,183
NN_integrated,METH: PHGDH (cg26791905),METH,PHGDH,cg26791905,0.006324023235707125,184
NN_integrated,METH: SFRP1 (cg09410389),METH,SFRP1,cg09410389,0.006305872049330601,185
NN_integrated,METH: FGFR4 (cg04849878),METH,FGFR4,cg04849878,0.00630313491947719,186
NN_integrated,METH: EGFR (cg16751451),METH,EGFR,cg16751451,0.006301409691323737,187
NN_integrated,METH: SFRP1 (cg06166767),METH,SFRP1,cg06166767,0.006296542809798625,188
NN_integrated,METH: BLVRA (cg14579118),METH,BLVRA,cg14579118,0.006245397940086828,189
NN_integrated,METH: CCNE1 (cg26605086),METH,CCNE1,cg26605086,0.006236792761440846,190
NN_integrated,METH: PGR (cg26705960),METH,PGR,cg26705960,0.006231880289132916,191
NN_integrated,METH: NAT1 (cg21298408),METH,NAT1,cg21298408,0.0062247626421831626,192
NN_integrated,RNA: CCNB1,RNA,CCNB1,,0.006216343658333346,193
NN_integrated,METH: ESR1 (cg20627916),METH,ESR1,cg20627916,0.006210324539610199,194
NN_integrated,RNA: MDM2,RNA,MDM2,,0.006205125475359889,195
NN_integrated,METH: ESR1 (cg11251858),METH,ESR1,cg11251858,0.00619828353487193,196
NN_integrated,METH: ESR1 (cg18007957),METH,ESR1,cg18007957,0.006197981843285329,197
NN_integrated,METH: CEP55 (cg14085673),METH,CEP55,cg14085673,0.0061850467163120796,198
NN_integrated,METH: MYC (cg17299732),METH,MYC,cg17299732,0.006184038989842565,199
NN_integrated,RNA: FOXC1,RNA,FOXC1,,0.006177371040852591,200
NN_integrated,METH: KRT5 (cg06353098),METH,KRT5,cg06353098,0.00616566751669124,201
NN_integrated,METH: CXXC5 (cg02084046),METH,CXXC5,cg02084046,0.006142590232845729,202
NN_integrated,METH: SFRP1 (cg24319902),METH,SFRP1,cg24319902,0.006134071986205489,203
NN_integrated,METH: MDM2 (cg15434599),METH,MDM2,cg15434599,0.00611529671270256,204
NN_integrated,RNA: ANLN,RNA,ANLN,,0.00610252399107614,205
NN_integrated,METH: ESR1 (cg23164938),METH,ESR1,cg23164938,0.006098049175990772,206
NN_integrated,METH: GPR160 (cg09383389),METH,GPR160,cg09383389,0.006094961737927205,207
NN_integrated,METH: ESR1 (cg25338972),METH,ESR1,cg25338972,0.006087334493353387,208
NN_integrated,RNA: ACTR3B,RNA,ACTR3B,,0.0060831831306652285,209
NN_integrated,RNA: NAT1,RNA,NAT1,,0.006076608396057526,210
NN_integrated,RNA: ERBB2,RNA,ERBB2,,0.0060568515469692176,211
NN_integrated,RNA: PTTG1,RNA,PTTG1,,0.006040010824421005,212
NN_integrated,METH: CCNB1 (cg00290373),METH,CCNB1,cg00290373,0.0060351448598540735,213
NN_integrated,METH: ESR1 (cg15980539),METH,ESR1,cg15980539,0.0060315525061875605,214
NN_integrated,METH: CCNB1 (cg10556830),METH,CCNB1,cg10556830,0.006022890207029968,215
NN_integrated,RNA: BLVRA,RNA,BLVRA,,0.006015742125070639,216
NN_integrated,METH: FGFR4 (cg00618323),METH,FGFR4,cg00618323,0.006006802462550285,217
NN_integrated,METH: NDC80 (cg16932672),METH,NDC80,cg16932672,0.006000592586289698,218
NN_integrated,METH: KRT14 (cg21874706),METH,KRT14,cg21874706,0.005998108646860646,219
NN_integrated,METH: ESR1 (cg13612689),METH,ESR1,cg13612689,0.005985865127183385,220
NN_integrated,METH: FOXA1 (cg10323697),METH,FOXA1,cg10323697,0.005972519919936493,221
NN_integrated,RNA: MYBL2,RNA,MYBL2,,0.005960670753620226,222
NN_integrated,RNA: ORC6,RNA,ORC6,,0.0059402067480624965,223
NN_integrated,METH: MLPH (cg17187163),METH,MLPH,cg17187163,0.005939570842795457,224
NN_integrated,METH: FGFR4 (cg23197992),METH,FGFR4,cg23197992,0.005933994122024328,225
NN_integrated,METH: PGR (cg00173799),METH,PGR,cg00173799,0.005929903908204808,226
NN_integrated,METH: MLPH (cg24603464),METH,MLPH,cg24603464,0.005928209843680503,227
NN_integrated,METH: ESR1 (cg05171584),METH,ESR1,cg05171584,0.005924222278595161,228
NN_integrated,METH: CDC6 (cg19291926),METH,CDC6,cg19291926,0.005912400055647448,229
NN_integrated,RNA: BCL2,RNA,BCL2,,0.005899167985624743,230
NN_integrated,METH: MYBL2 (cg23843505),METH,MYBL2,cg23843505,0.005887484390791346,231
NN_integrated,METH: MDM2 (cg24549639),METH,MDM2,cg24549639,0.0058715457157151995,232
NN_integrated,RNA: FGFR4,RNA,FGFR4,,0.005856778561475285,233
NN_integrated,METH: UBE2C (cg03969725),METH,UBE2C,cg03969725,0.005848294754657142,234
NN_integrated,RNA: KRT14,RNA,KRT14,,0.005823178462964627,235
NN_integrated,METH: KRT5 (cg16353632),METH,KRT5,cg16353632,0.005822753776792006,236
NN_integrated,METH: MYC (cg25080152),METH,MYC,cg25080152,0.005802799642176838,237
NN_integrated,METH: FOXC1 (cg11815762),METH,FOXC1,cg11815762,0.005796612029097173,238
NN_integrated,METH: FOXC1 (cg04504095),METH,FOXC1,cg04504095,0.005794923400768961,239
NN_integrated,RNA: PGR,RNA,PGR,,0.005794036264276092,240
NN_integrated,METH: CDC6 (cg23188547),METH,CDC6,cg23188547,0.00578481964900995,241
NN_integrated,METH: FOXC1 (cg23850750),METH,FOXC1,cg23850750,0.005783545143344402,242
NN_integrated,METH: MIA (cg19023552),METH,MIA,cg19023552,0.005745039708565681,243
NN_integrated,METH: MIA (cg25152942),METH,MIA,cg25152942,0.00573612713028963,244
NN_integrated,RNA: ESR1,RNA,ESR1,,0.005729458886618615,245
NN_integrated,METH: FOXC1 (cg03869498),METH,FOXC1,cg03869498,0.005720326039907357,246
NN_integrated,METH: SFRP1 (cg03575666),METH,SFRP1,cg03575666,0.005713612984989118,247
NN_integrated,METH: ERBB2 (cg10713339),METH,ERBB2,cg10713339,0.005708765164800574,248
NN_integrated,METH: FGFR4 (cg18229134),METH,FGFR4,cg18229134,0.005690092100698657,249
NN_integrated,METH: ERBB2 (cg25582403),METH,ERBB2,cg25582403,0.005675076748248127,250
NN_integrated,METH: EGFR (cg03860890),METH,EGFR,cg03860890,0.005632592122041096,251
NN_integrated,METH: NAT1 (cg15138846),METH,NAT1,cg15138846,0.005624871929868399,252
NN_integrated,RNA: EGFR,RNA,EGFR,,0.005589395876266571,253
NN_integrated,METH: PHGDH (cg07090813),METH,PHGDH,cg07090813,0.005585912039109514,254
NN_integrated,METH: GRB7 (cg08500763),METH,GRB7,cg08500763,0.00557382122269327,255
NN_integrated,RNA: CXXC5,RNA,CXXC5,,0.005561178631244201,256
NN_integrated,METH: TYMS (cg23384185),METH,TYMS,cg23384185,0.005521440107608331,257
NN_integrated,METH: MMP11 (cg22418565),METH,MMP11,cg22418565,0.00551930867045235,258
NN_integrated,RNA: CCNE1,RNA,CCNE1,,0.005505850954791436,259
NN_integrated,RNA: MLPH,RNA,MLPH,,0.005473116317073945,260
NN_integrated,METH: EXO1 (cg03292648),METH,EXO1,cg03292648,0.0054542971136759735,261
NN_integrated,METH: PGR (cg23641145),METH,PGR,cg23641145,0.005432031206383361,262
NN_integrated,METH: EXO1 (cg16121177),METH,EXO1,cg16121177,0.005394067459684421,263
NN_integrated,RNA: MYC,RNA,MYC,,0.0053727075190658025,264
NN_integrated,METH: EXO1 (cg04706276),METH,EXO1,cg04706276,0.005359780792451931,265
NN_integrated,METH: RRM2 (cg18623836),METH,RRM2,cg18623836,0.005356718706021052,266
NN_integrated,METH: ESR1 (cg00920970),METH,ESR1,cg00920970,0.005354889850436503,267
NN_integrated,METH: GRB7 (cg17740645),METH,GRB7,cg17740645,0.00535468235971916,268
NN_integrated,METH: SFRP1 (cg14904908),METH,SFRP1,cg14904908,0.0053534670534144835,269
NN_integrated,METH: KRT5 (cg22566740),METH,KRT5,cg22566740,0.005335140773907344,270
NN_integrated,METH: PTTG1 (cg23024444),METH,PTTG1,cg23024444,0.0053303905230744,271
NN_integrated,METH: UBE2T (cg15387598),METH,UBE2T,cg15387598,0.005323469350374046,272
NN_integrated,METH: UBE2T (cg16993579),METH,UBE2T,cg16993579,0.005300190912421957,273
NN_integrated,RNA: GPR160,RNA,GPR160,,0.0052934551309957575,274
NN_integrated,METH: SLC39A6 (cg19453250),METH,SLC39A6,cg19453250,0.005265848059918374,275
NN_integrated,METH: SFRP1 (cg00930833),METH,SFRP1,cg00930833,0.005258029393887758,276
NN_integrated,METH: UBE2T (cg10717074),METH,UBE2T,cg10717074,0.00523440795010977,277
NN_integrated,METH: ERBB2 (cg02433278),METH,ERBB2,cg02433278,0.005221638906620094,278
NN_integrated,METH: CDH3 (cg19034028),METH,CDH3,cg19034028,0.005171502108760102,279
NN_integrated,METH: SFRP1 (cg21517947),METH,SFRP1,cg21517947,0.005157922025712708,280
NN_integrated,METH: FOXC1 (cg23572376),METH,FOXC1,cg23572376,0.00515167980616569,281
NN_integrated,METH: NAT1 (cg07470176),METH,NAT1,cg07470176,0.005120482892864895,282
NN_integrated,RNA: GRB7,RNA,GRB7,,0.005080183373428176,283
NN_integrated,METH: ERBB2 (cg22778981),METH,ERBB2,cg22778981,0.005073749534545619,284
NN_integrated,METH: FGFR4 (cg27294629),METH,FGFR4,cg27294629,0.004997199308684214,285
NN_integrated,METH: PGR (cg14772925),METH,PGR,cg14772925,0.0048753780789148864,286
NN_integrated,METH: FOXA1 (cg03015370),METH,FOXA1,cg03015370,0.004874994719102518,287
NN_integrated,METH: FOXC1 (cg23867624),METH,FOXC1,cg23867624,0.004797048926807938,288
NN_integrated,METH: FOXC1 (cg04780909),METH,FOXC1,cg04780909,0.004731259976658301,289
NN_integrated,METH: EXO1 (cg24741598),METH,EXO1,cg24741598,0.004720194666694589,290
NN_integrated,METH: ESR1 (cg04211581),METH,ESR1,cg04211581,0.004714503731244704,291
NN_integrated,METH: FOXC1 (cg20020464),METH,FOXC1,cg20020464,0.0047089747360284815,292
NN_integrated,METH: PGR (cg22299741),METH,PGR,cg22299741,0.004675251812038222,293
NN_integrated,METH: NDC80 (cg18418962),METH,NDC80,cg18418962,0.0046741275314388766,294
NN_integrated,METH: PGR (cg16581884),METH,PGR,cg16581884,0.004642001188963857,295
NN_integrated,METH: PGR (cg13686012),METH,PGR,cg13686012,0.004568583269481743,296
NN_integrated,METH: MMP11 (cg14420645),METH,MMP11,cg14420645,0.004566383191982221,297
NN_integrated,METH: MMP11 (cg19934709),METH,MMP11,cg19934709,0.004564588516580026,298
NN_integrated,METH: ORC6 (cg06250734),METH,ORC6,cg06250734,0.00453781399881119,299
NN_integrated,METH: CDH3 (cg02202600),METH,CDH3,cg02202600,0.004511812351001447,300
NN_integrated,METH: PHGDH (cg26612362),METH,PHGDH,cg26612362,0.0043977989586933604,301
NN_integrated,METH: ERBB2 (cg09875273),METH,ERBB2,cg09875273,0.004287321548843327,302
NN_integrated,METH: FGFR4 (cg11408622),METH,FGFR4,cg11408622,0.004276374621924524,303
