cpg,gene,spearman_rho,p_value,q_value
cg01824511,FOXA1,-0.31518103390190444,1.8898226264828795e-14,1.4433862668934455e-13
cg20253551,ESR1,-0.3136303733648971,2.572198766117213e-14,1.936498213919673e-13
cg15797286,NAT1,-0.312691571467362,3.097278040678031e-14,2.2989655316018627e-13
cg17187163,MLPH,-0.3121540181138131,3.443862962034161e-14,2.5207163624888926e-13
cg14579118,BLVRA,-0.3111109870821773,4.228256508753007e-14,3.052453671387445e-13
cg01892516,FOXA1,-0.30891181959725594,6.499851537670178e-14,4.628948324800248e-13
cg11637980,PGR,-0.3079098750178366,7.897080581823955e-14,5.5490152888283e-13
cg25742394,GPR160,-0.3074629001440514,8.611656349079204e-14,5.971503810479922e-13
cg20725670,CDC6,-0.3032499585437025,1.9343243841425966e-13,1.3238817538222708e-12
cg04211581,ESR1,-0.3002283895684255,3.428505865450869e-13,2.3164392193494975e-12
cg13708869,CDC6,-0.29838037339851936,4.849651164353433e-13,3.200577532180543e-12
cg05301556,MAPT,-0.29837055568653315,4.858561718680141e-13,3.200577532180543e-12
cg08284496,GRB7,-0.2944577939923941,1.0041995704815149e-12,6.533495970910597e-12
cg07090813,PHGDH,-0.2906159753540462,2.0265321128752906e-12,1.2910803252100532e-11
cg10713339,ERBB2,-0.29059734859911335,2.0333902655110895e-12,1.2910803252100532e-11
cg23333072,ERBB2,-0.2903709360220057,2.118589880463593e-12,1.3291629369098972e-11
cg14263391,GRB7,-0.2898706361783225,2.319426398428514e-12,1.4380443670256786e-11
cg25042948,CDC6,-0.28925669295616824,2.5914502840877842e-12,1.5880166275747236e-11
cg12090740,BCL2,-0.2866394657765992,4.1452368188682596e-12,2.5109652914293937e-11
cg01495122,SFRP1,-0.28602290001494174,4.627020500050029e-12,2.7709543221890516e-11
cg01692252,GRB7,-0.28520486942375817,5.3515056792669e-12,3.168812913453546e-11
cg09383389,GPR160,-0.28089462488338107,1.1427614991740452e-11,6.691503445163576e-11
cg11603030,MDM2,-0.2756987016815589,2.8029158690549204e-11,1.6232271021889483e-10
cg22778981,ERBB2,-0.27446072854685355,3.461328330691005e-11,1.9827391633414777e-10
cg10406295,SFRP1,-0.27438884406662545,3.5038811839245754e-11,1.9855326708905926e-10
cg03860890,EGFR,-0.2735889022735535,4.013254849903265e-11,2.249984367977681e-10
cg17816908,SFRP1,-0.27259415286661726,4.7482203978005073e-11,2.63401278909565e-10
cg26791905,PHGDH,-0.27099911089186385,6.20895062293933e-11,3.4084551857177363e-10
cg05981907,CDC6,-0.2703042724127269,6.974683850588264e-11,3.7893385456288815e-10
cg04667586,MDM2,-0.2702157112710427,7.078666766030454e-11,3.806589169079642e-10
cg24703804,MDM2,-0.27010105922353195,7.215532059354554e-11,3.840995348767525e-10
cg23197992,FGFR4,-0.2688218651474049,8.928841939996521e-11,4.660263838539179e-10
cg09781971,MDM2,-0.26882011678773615,8.931435440084573e-11,4.660263838539179e-10
cg01202278,MDM2,-0.26642936942987744,1.3259897072972258e-10,6.784432774229495e-10
cg22418909,SFRP1,-0.26553131776154554,1.5366235462651145e-10,7.78654431617034e-10
cg13612689,ESR1,-0.2648514748287986,1.7174274025868975e-10,8.619849915840905e-10
cg02433278,ERBB2,-0.2629352726318099,2.3459093355940896e-10,1.1663153017529106e-09
cg01777019,ESR1,-0.26223814783618304,2.626112869017456e-10,1.2934219457684104e-09
cg04149472,NAT1,-0.25723844438488064,5.842036379454679e-10,2.8506973814561257e-09
cg25202618,CDC6,-0.25688184625705107,6.180900015929363e-10,2.988380099444747e-09
cg03386751,ERBB2,-0.25495986102423485,8.363631645067513e-10,4.00693988813689e-09
cg21517947,SFRP1,-0.25489618038552947,8.447500698806375e-10,4.01066024168555e-09
cg01387102,MLPH,-0.25429951902625514,9.274116137189748e-10,4.363802860981247e-09
cg23731030,ERBB2,-0.25144048025557253,1.4458244072489473e-09,6.742915598408807e-09
cg26612362,PHGDH,-0.2510122666259254,1.5445245276466969e-09,7.140038825173765e-09
cg01747547,ACTR3B,-0.2499493984365092,1.8186560311497778e-09,8.334188942747243e-09
cg05724997,BCL2,-0.24830990777940706,2.3364794430609225e-09,1.0590903979192978e-08
cg01912921,FOXC1,-0.24826371073738954,2.3529722414885856e-09,1.0590903979192978e-08
cg23699933,BCL2,-0.24821247035017358,2.371397854923665e-09,1.0590903979192978e-08
cg06557887,CDC6,-0.24656753288025712,3.0433649271606996e-09,1.3477758963140242e-08
cg17740645,GRB7,-0.2448268390961734,3.955174874494945e-09,1.7369809657156964e-08
cg00618323,FGFR4,-0.24441362101291622,4.20780606901914e-09,1.832656031713295e-08
cg15839448,SFRP1,-0.24405944369078192,4.436748785801472e-09,1.916530008292931e-08
cg13906669,PGR,-0.24241551488990515,5.66752997105187e-09,2.428283166458809e-08
cg23302638,BIRC5,-0.23861659830804513,9.91209375622365e-09,4.212639846395051e-08
cg10365447,FOXC1,-0.23714279835186172,1.2281403822558892e-08,5.177839851590829e-08
cg16581536,FOXA1,-0.23496642678723714,1.681057679617763e-08,7.031090453639373e-08
cg27300230,ERBB2,-0.23400328234354434,1.9297065049750005e-08,7.980927245157307e-08
cg13398291,SFRP1,-0.23397167738030095,1.938441532030617e-08,7.980927245157307e-08
cg04255616,SFRP1,-0.2335676718076062,2.0535302619640658e-08,8.38922827949661e-08
cg22733687,PGR,-0.23255550604858477,2.371670753834142e-08,9.54099608603506e-08
cg01194468,BAG1,-0.2309006836220794,2.997136812292821e-08,1.1875872932919674e-07
cg12953669,BCL2,-0.22955424494330673,3.621183763679298e-08,1.424152121984321e-07
cg19291926,CDC6,-0.228184674121224,4.3841673334862016e-08,1.7114490257386874e-07
cg23024444,PTTG1,-0.22780528007309758,4.621652273241455e-08,1.7908902558810637e-07
cg13761998,GRB7,-0.22437405697850363,7.41618418418624e-08,2.8527949380044877e-07
cg07311521,EGFR,-0.220996293343013,1.1726902227800367e-07,4.4460989021948157e-07
cg22019649,CXXC5,-0.22032028335261683,1.2842020220300055e-07,4.834103325784377e-07
cg13448401,ORC6,-0.2200453874170017,1.3324152125615534e-07,4.980019978864814e-07
cg27347932,BCL2,-0.2197722398410553,1.3820490493367622e-07,5.129153866200518e-07
cg09276158,FOXA1,-0.21773136615076158,1.8136569261913863e-07,6.683896504215808e-07
cg15483228,TMEM45B,-0.21678247756282965,2.0561020292638116e-07,7.524762287652977e-07
cg26399396,UBE2T,-0.21361935869898374,3.111074566546207e-07,1.115330813993096e-06
cg25152942,MIA,-0.2124650608706459,3.613012965632691e-07,1.2778911630123678e-06
cg04391064,BLVRA,-0.21055239961692096,4.620728378875045e-07,1.623415903778099e-06
cg24038058,FOXC1,-0.2076201314739573,6.707879842358146e-07,2.325692550607068e-06
cg27388618,BCL2,-0.20652713770255585,7.697159474460407e-07,2.651243818980807e-06
cg23641145,PGR,-0.205166510412625,9.125491144275626e-07,3.122814177294321e-06
cg21793948,BCL2,-0.20385577861785714,1.0739925171783062e-06,3.6515745584062414e-06
cg16520312,MAPT,-0.20155036466075574,1.426648959434193e-06,4.8195128309091005e-06
cg11255230,BCL2,-0.2014022920457301,1.452743535707841e-06,4.851168224270623e-06
cg26705960,PGR,-0.2013928105567571,1.454429942001439e-06,4.851168224270623e-06
cg03969725,UBE2C,-0.20103547273829844,1.519373628568191e-06,5.035911334939853e-06
cg07111678,BCL2,-0.19974874726667505,1.7770411386438706e-06,5.8531292504082495e-06
cg19197419,UBE2C,-0.19701525416913176,2.470380775818226e-06,8.036362153433365e-06
cg23202277,MAPT,-0.19392630610200387,3.5649321721056675e-06,1.1455605211583456e-05
cg19023552,MIA,-0.19240857039591044,4.259839112842846e-06,1.3605667954352605e-05
cg20491838,FOXC1,-0.18951909484461185,5.956108032880999e-06,1.87956223552592e-05
cg20034785,UBE2C,-0.1881475066844497,6.971009214910492e-06,2.173799914945461e-05
cg00424800,GPR160,-0.18577431016788154,9.127834987727114e-06,2.8130813090831514e-05
cg22396409,EGFR,-0.18537312886849797,9.550217908881166e-06,2.9261423476630085e-05
cg05064645,EGFR,-0.18316938875059666,1.222310817637273e-05,3.7234554965019824e-05
cg21777986,BCL2,-0.18088576204475235,1.573638333302983e-05,4.7661344922452406e-05
cg11117266,MAPT,-0.18081421378753748,1.5860644921336906e-05,4.776319927739742e-05
cg22839866,ESR1,-0.17986324061692352,1.76034291788494e-05,5.271026805257746e-05
cg09065776,CENPF,-0.17874523185333793,1.988509394491284e-05,5.92059011806162e-05
cg15138846,NAT1,-0.17814312368124932,2.1227552928144526e-05,6.2847867377147e-05
cg19136718,UBE2C,-0.17762312116899096,2.2455777418234322e-05,6.611281954977367e-05
cg22299741,PGR,-0.1763202569927326,2.5836111373617378e-05,7.564239274386865e-05
cg14604802,BCL2,-0.17571263476322707,2.7572725354464958e-05,8.028080807625985e-05
cg04173528,CDC6,-0.17526223041470687,2.8930831915330863e-05,8.377224406252399e-05
cg20099416,MAPT,-0.17500374216213724,2.973864696964849e-05,8.56408030218839e-05
cg10244268,ORC6,-0.17449476776471276,3.139217666305446e-05,8.991128859472663e-05
cg05958127,PHGDH,-0.17407637184705188,3.281631183329816e-05,9.348214235755746e-05
cg11819639,UBE2T,-0.17338792160516633,3.529371092812051e-05,9.999884762967477e-05
cg25028542,ANLN,-0.17193463125278982,4.111701243401103e-05,0.00011587521685948562
cg23795893,PGR,-0.170639634695041,4.706166918276938e-05,0.000131922870528295
cg21327887,MAPT,-0.16833906234933008,5.967585596619333e-05,0.00016552197944307308
cg18623836,RRM2,-0.16774905820571764,6.339148912984628e-05,0.0001749074071802565
cg26029744,NUF2,-0.1669796454622468,6.856575917461944e-05,0.000188198724401169
cg01662117,FOXA1,-0.1666428844921977,7.095365923028968e-05,0.0001937439296080967
cg15173196,UBE2T,-0.16551404934758612,7.954296346471967e-05,0.00021607805023663538
cg11183072,GRB7,-0.16436255277188302,8.9308536816443e-05,0.0002413620456526434
cg23467008,ESR1,-0.16423082059530034,9.049508260184268e-05,0.00024332096189373005
cg18229134,FGFR4,-0.16403507155699903,9.228570530795725e-05,0.00024687597308270797
cg01408486,CXXC5,-0.15998123068650957,0.0001377813550829655,0.000366721081458196
cg07368544,ORC6,-0.1595660625097757,0.00014347724209593519,0.0003799623446460193
cg14933485,PGR,-0.15799885980051756,0.0001670334091775748,0.0004401330331829096
cg01098785,MDM2,-0.1576142206733848,0.00017334558977642427,0.0004544931632446547
cg10832291,MYC,-0.1575079069566021,0.00017512933652702722,0.000456896833414571
cg23676114,BAG1,-0.15741800092286493,0.0001766512129499992,0.0004585969912544314
cg16121177,EXO1,-0.15729770032873197,0.00017870699809679891,0.00046165974508339717
cg21467513,SLC39A6,-0.15652754789463202,0.00019240885455763972,0.0004946315431798836
cg19725553,BLVRA,-0.15576048871225376,0.00020702965167868228,0.0005296341089061435
cg03292648,EXO1,-0.15167981724530874,0.00030393683506246914,0.0007737908796034841
cg14577472,MYBL2,-0.1491188065535514,0.0003848810021472002,0.0009658680387217833
cg01886741,BIRC5,-0.1487661758572779,0.00039748331220947574,0.0009880835166716684
cg21826946,GPR160,-0.1471794049686499,0.0004590952193574954,0.0011305756102869163
cg05650674,CDH3,-0.14680007816512614,0.00047508571703517644,0.0011591211707293425
cg04706276,EXO1,-0.14440099247653937,0.0005888362771858174,0.0014300309588798424
cg25915838,PGR,-0.14242743063349392,0.0007008491100410485,0.0016865181780439842
cg25986496,BIRC5,-0.1411649804634256,0.0007825358328305135,0.001874529017734912
cg14772925,PGR,-0.1408079116233775,0.0008071901915779144,0.0019248381491473344
cg22082347,UBE2C,-0.14023902228499582,0.0008479592278402386,0.0020129482570802057
cg13085338,CENPF,-0.13903628532207676,0.0009404965090395655,0.002222608341990363
cg07998951,ACTR3B,-0.13595036326206797,0.0012222583799551766,0.002875581099269545
cg00000321,SFRP1,-0.1350942049811843,0.001313192824104572,0.0030757894146804868
cg14339556,MELK,-0.13441812774618553,0.001389356086667835,0.0032397816711236685
cg14094960,EGFR,-0.13388588671624568,0.0014521509875940566,0.0033712932619474356
cg23906291,ERBB2,-0.13218567418295457,0.0016706358596133483,0.0038615135877905025
cg21164723,CENPF,-0.1319680706487934,0.0017006779296498543,0.0039055942430244917
cg16527491,FOXA1,-0.13155525603315213,0.0017590363954046188,0.004013039741897117
cg21919602,EXO1,-0.13027653266924358,0.0019516546156881324,0.0043953930874685715
cg07140595,CENPF,-0.12991912760618224,0.0020088438355186974,0.004504939154546185
cg20440575,CCNB1,-0.1280263937755168,0.0023380942074395267,0.0052210832513586046
cg23613219,ERBB2,-0.12705827323122826,0.0025249125063587516,0.005614467893886338
cg20777956,BCL2,-0.12476751859750353,0.003022384265901091,0.006664420536108264
cg14951488,CEP55,-0.12420353811511496,0.0031578173375464524,0.006934040570362418
cg14430582,MYBL2,-0.12189368601423892,0.0037719758420624526,0.008146849462159478
cg01661001,UBE2C,-0.1216864381488852,0.0038320583815850554,0.008242835784062548
cg16487280,MYBL2,-0.12155759749021623,0.0038698459498660064,0.008290279738127583
cg11993754,ERBB2,-0.12026999783875848,0.004266453179612589,0.009102918322493256
cg17736920,EXO1,-0.11997492852234964,0.004362366940707226,0.009270029749002855
cg02405476,UBE2C,-0.11954940467680832,0.004504119856362475,0.009532815920895681
cg04298819,NUF2,-0.11905905703431668,0.004672619076383628,0.009818730765261212
cg27332026,SLC39A6,-0.1190480289194828,0.004676473286680387,0.009818730765261212
cg25152498,ACTR3B,-0.11872686869724745,0.004789982041029293,0.009977551524199357
cg08290421,MYBL2,-0.11453631954957953,0.006516502134237389,0.013467437744090604
cg03133371,SFRP1,-0.1142300876291315,0.006662268387711762,0.01371490406376601
cg21298408,NAT1,-0.11301800366644471,0.007268328085320361,0.01490431478974253
cg17428694,NUF2,-0.11295607138740812,0.007300580008391707,0.014912425055900888
cg00290373,CCNB1,-0.11238563542316558,0.007603716487093372,0.01547165478261856
cg04904099,CDH3,-0.11017779338450288,0.008885811154027576,0.01801085568527897
cg16932672,NDC80,-0.10963654157780854,0.00922813135056029,0.01863304682661024
cg23384185,TYMS,-0.10616127326848174,0.011719417467167932,0.02341462284254031
cg21803052,MYC,-0.10614856403858172,0.011729526433454728,0.02341462284254031
cg10263401,UBE2C,-0.10564523818777949,0.012136126450836011,0.024107569753521196
cg01964683,NUF2,-0.10560623631824503,0.012168147162118859,0.024107569753521196
cg24525646,SLC39A6,-0.10448338594326896,0.013122605339551048,0.025901172336866677
cg09126741,ACTR3B,-0.10066543913886022,0.016879835297559435,0.03294693778449564
cg22152050,BCL2,-0.09982064519582369,0.01782843336710299,0.03454258964876205
cg07163735,MAPT,-0.09952900535414977,0.018166557749759723,0.035068776315470236
cg26605086,CCNE1,-0.09903509374771789,0.018751976626642124,0.03593560611723782
cg17423498,EXO1,-0.09889112305345368,0.018925689654638027,0.036137095826066085
cg21070864,BIRC5,-0.0975563176909387,0.02060421239962085,0.03905906451295032
cg16836589,CCNE1,-0.09671085130187568,0.02173311505156247,0.040904827257762226
cg00459289,ACTR3B,-0.0966091102180729,0.02187251802324465,0.04102070106138765
cg10379951,CENPF,-0.09342884398055235,0.026638960889295606,0.04978273896687512
cg03278924,SLC39A6,-0.09315186346225514,0.027093560455793975,0.05027572662043459
cg01745690,BLVRA,-0.09296364581945012,0.027406273447919474,0.05067756528790724
cg27045396,MYC,-0.09198745592284409,0.02907844615471419,0.053394916806739995
cg23850277,MMP11,-0.09180293673318457,0.02940417204077357,0.053805550921832195
cg00615260,CDC20,-0.09126370226456959,0.030374064988016015,0.05538800086049979
cg09145139,CEP55,-0.09000932144681874,0.03273682350338621,0.05903132651888851
cg04747517,GPR160,-0.08996655387953614,0.03282007337767426,0.05903132651888851
cg27475126,CCNE1,-0.08983206467424495,0.03308304452224345,0.05930191994293298
cg04504095,FOXC1,-0.08923224281864629,0.034277903932696786,0.06123544194078375
cg17750334,CENPF,-0.08839955290408594,0.035997472984798363,0.06409009548307006
cg08500763,GRB7,-0.08716487475491025,0.0386818908534577,0.06817844976512444
cg11843735,CDH3,-0.08698122974508514,0.03909531204093564,0.06844926726104014
cg07545636,RRM2,-0.08549424984678318,0.04258265633487691,0.07412148662460157
cg19722181,MDM2,-0.0848595952870141,0.044149061976076424,0.07603449562546495
cg23645091,KRT5,-0.08475186943357585,0.04441970022578927,0.07625140722798353
cg05515713,RRM2,-0.08375913736471899,0.04698007584808999,0.08038474016864748
cg00309178,EXO1,-0.08295112621932958,0.04915441036520822,0.08356249762085398
cg21784134,PTTG1,-0.0828371466178453,0.04946780024668713,0.08382485765274636
cg09378441,ANLN,-0.08005987728397974,0.057635946549634526,0.09735302510146601
cg05953180,MDM2,-0.07972775619151316,0.058683651156029464,0.09880601967804321
cg16720880,BAG1,-0.07937398233699472,0.05981696037975778,0.10039343350360622
cg21796667,NDC80,-0.0777689209164471,0.0651884225300305,0.1090612656296066
cg14001558,CEP55,-0.07605082131885225,0.07137149251511167,0.11865229197307209
cg22418565,MMP11,-0.07228330796642773,0.086613041921742,0.14353796570049698
cg03187894,ANLN,-0.07219051041477682,0.08701920173762648,0.14375899472015408
cg03076047,MYC,-0.07071301200544788,0.09369485689279641,0.1543037174453241
cg17160660,MYC,-0.07049413082383649,0.09471776069233175,0.1554900808553799
cg05407825,NDC80,-0.07043293823542901,0.0950053245454124,0.1554900808553799
cg23187103,MYC,-0.06995590502426119,0.09727104177360914,0.1587053839464149
cg26111030,ERBB2,-0.069651219729674,0.09874058037488549,0.16011164879250664
cg12007257,CEP55,-0.06958579073129985,0.09905844733131403,0.16013436117669475
cg13853156,UBE2C,-0.0692548800416809,0.10067857236261778,0.16225568084128308
cg16357661,EXO1,-0.06856985927453027,0.10409929631148136,0.16725710108582523
cg20839219,SLC39A6,-0.06779742052394036,0.10806631745766433,0.1731031893622769
cg19222480,UBE2C,-0.06772560328831487,0.10844113309378844,0.1731772034558379
cg14810343,CXXC5,-0.06682129787193695,0.11324901037806345,0.1800780815276803
cg16740744,CCNE1,-0.06672191034922678,0.11378747846056458,0.1800780815276803
cg00190596,ORC6,-0.06611852452968789,0.11709981795485895,0.18476528162338524
cg14552260,MELK,-0.06475951111022049,0.12483655193415383,0.19595225913584213
cg24603464,MLPH,-0.0634233608556526,0.13282502870479015,0.20648610657057348
cg19731367,CEP55,-0.06334461742595462,0.13330785508691134,0.2066271753847126
cg14313868,NDC80,-0.06242390432653118,0.1390543282143707,0.21302799700282954
cg11408622,FGFR4,-0.06218525323174199,0.14057443566272484,0.21473254375146666
cg02807146,NDC80,-0.0620569505298942,0.1413969208322493,0.21536467421559358
cg11692852,MLPH,-0.06124665306801483,0.1466767762822313,0.22174053021042137
cg04732910,MDM2,-0.05996080177622584,0.15536218514602,0.2319429789573726
cg16751451,EGFR,-0.059028926072763235,0.1618960809159712,0.23966077146830572
cg16402873,CEP55,-0.058134640102179516,0.16835890318375624,0.24817839675772613
cg18038749,UBE2C,-0.05810290064973081,0.16859177616559004,0.24817839675772613
cg17322050,NDC80,-0.05551801812403429,0.18837637727820306,0.27423853819230115
cg17299732,MYC,-0.05496654513773779,0.19280996471420678,0.2791506906713928
cg12954646,SLC39A6,-0.05394140117040576,0.20125398223209184,0.2890669575092026
cg10302505,MYC,-0.05358372712893386,0.2042625128274862,0.2917245101899329
cg06636316,CCNE1,-0.05143916226136067,0.2229872559356303,0.31589861257547625
cg02202600,CDH3,-0.05096011171211348,0.22733228608822426,0.32033185766977057
cg15997773,BLVRA,-0.05062678021679929,0.2303909317272404,0.32377605605401516
cg01177235,BAG1,-0.04997370063590531,0.23646791413393592,0.33055329111030296
cg07871324,MYC,-0.04964991787416679,0.23952230498814456,0.3339371818220957
cg21614231,BAG1,-0.049514957956657085,0.24080360127631986,0.33483772525757405
cg13425515,NDC80,-0.048234217254669164,0.2532027450272879,0.3501707825898153
cg15387598,UBE2T,-0.04817120906199024,0.25382398282601415,0.3501707825898153
cg07639959,EXO1,-0.04801103241848845,0.2554080277654444,0.35143611131172114
cg07321681,CEP55,-0.0476464994275467,0.25903853373519864,0.3555034043709627
cg15465092,MYC,-0.04734853859322409,0.26203239046432697,0.35832433000439456
cg11808746,CEP55,-0.04730677969498117,0.2624538735895565,0.35832433000439456
cg07333223,NDC80,-0.047103835484196784,0.264508888803578,0.3601968589133995
cg11950805,CDC20,-0.0451055948719804,0.28533396597446614,0.3845854076740435
cg12504957,MDM2,-0.04474301197451538,0.28922808226254837,0.3888346922254158
cg03907454,KIF2C,-0.04282909609401656,0.3103730905961761,0.41409270568148054
cg25149125,KRT5,-0.042545458360057464,0.3135912048380234,0.4173297094687836
cg18691055,MKI67,-0.04209841624166957,0.31870758252503295,0.42213944482178334
cg26619047,CXXC5,-0.041772817875659625,0.32246815979730525,0.42591659201298215
cg18639038,RRM2,-0.0399375109356535,0.3442029484545569,0.45011154797903596
cg17779456,RRM2,-0.03957136407424826,0.3486481572095702,0.4525556129296638
cg04158730,EXO1,-0.03917220011294404,0.35353545933318953,0.4566499683053698
cg13912011,MELK,-0.03859799845095333,0.36064124670552344,0.46355594393612404
cg27052442,ERBB2,-0.03817119695796177,0.3659804359210579,0.46927418425887474
cg04849878,FGFR4,-0.03740481022160997,0.37569046974843856,0.4805555280520076
cg06979550,CCNB1,-0.03674043354747153,0.384235175010211,0.4902952475311893
cg21869951,CDC20,-0.03628518758756088,0.3901581027759706,0.4954537835251483
cg16993579,UBE2T,-0.03574393578086652,0.39727157517913214,0.5032743272101026
cg00116688,PTTG1,-0.03519676644913934,0.4045415386782203,0.5112551340130026
cg12333398,CXXC5,-0.03361174392018012,0.42604416912044696,0.5371418113073577
cg16167877,KRT5,-0.03349937818915934,0.4275933705211228,0.5378083681733453
cg22555539,BLVRA,-0.03314782340652819,0.43246138405156476,0.5413471482070656
cg09875273,ERBB2,-0.032747112819363114,0.43804889620613574,0.5464222172022871
cg05240479,MLPH,-0.03238022626732876,0.44320088394242485,0.5482790277879294
